Year,State,Food-at-home sales without taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales without taxes and tips (millions of nominal U.S. dollars),Total food sales without taxes and tips (millions of nominal U.S. dollars),Food-at-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales without taxes and tips (millions of constant U.S. dollars (1988=100))
2006,Rhode Island,"1,404.69","1,775.93","3,180.62",842.11,"1,107.44","1,949.55"
2007,Rhode Island,"1,730.01","1,859.94","3,589.95",998.17,"1,112.87","2,111.04"
2008,Rhode Island,"1,774.13","1,890.09","3,664.22",963.9,"1,082.30","2,046.20"
2009,Rhode Island,"1,745.91","1,847.61","3,593.52",939.29,"1,023.12","1,962.41"
2010,Rhode Island,"1,775.95","1,903.03","3,678.98",946.5,"1,037.64","1,984.14"
2011,Rhode Island,"1,870.08","1,992.87","3,862.95",955.55,"1,060.59","2,016.14"
2012,Rhode Island,"1,994.61","2,109.73","4,104.34",991.99,"1,093.45","2,085.44"
2013,Rhode Island,"1,997.40","2,208.89","4,206.29",985.16,"1,125.87","2,111.03"
2014,Rhode Island,"2,039.00","2,376.31","4,415.31",988.8,"1,185.10","2,173.90"
2015,Rhode Island,"2,041.49","2,557.78","4,599.27",976.53,"1,246.62","2,223.15"
2016,Rhode Island,"2,051.78","2,690.75","4,742.53",994.76,"1,277.42","2,272.18"
2017,Rhode Island,"2,059.62","2,847.58","4,907.20",997.02,"1,320.79","2,317.81"
2018,Rhode Island,"2,127.34","2,982.19","5,109.53","1,017.25","1,346.04","2,363.29"
2019,Rhode Island,"2,190.55","3,118.29","5,308.84","1,039.16","1,368.24","2,407.40"
2020,Rhode Island,"2,265.53","2,618.54","4,884.07","1,039.12","1,108.86","2,147.98"
2021,Rhode Island,"2,490.14","3,400.61","5,890.75","1,115.94","1,374.57","2,490.51"
2022,Rhode Island,"2,826.31","3,902.33","6,728.64","1,150.17","1,475.74","2,625.91"
2023,Rhode Island,"2,918.52","4,228.64","7,147.16","1,133.50","1,496.38","2,629.88"
2024,Rhode Island,"3,021.01","4,396.76","7,417.77","1,162.80","1,490.86","2,653.66"
1997,South Carolina,"5,964.17","4,011.96","9,976.13","4,435.68","3,080.70","7,516.38"
1998,South Carolina,"5,825.58","4,261.10","10,086.68","4,269.38","3,188.01","7,457.39"
1999,South Carolina,"5,897.23","4,617.44","10,514.67","4,254.40","3,372.16","7,626.56"
2000,South Carolina,"6,044.56","4,932.57","10,977.13","4,246.63","3,522.44","7,769.07"
2001,South Carolina,"6,072.32","5,127.20","11,199.52","4,147.57","3,565.73","7,713.30"
2002,South Carolina,"6,105.55","5,415.52","11,521.07","4,116.70","3,682.55","7,799.25"
2003,South Carolina,"6,233.44","5,764.35","11,997.79","4,114.07","3,828.30","7,942.37"
2004,South Carolina,"6,658.42","6,224.29","12,882.71","4,227.86","4,009.75","8,237.61"
2005,South Carolina,"7,093.75","6,598.44","13,692.19","4,414.48","4,131.20","8,545.68"
2006,South Carolina,"7,408.71","7,046.14","14,454.85","4,522.76","4,280.14","8,802.90"
2007,South Carolina,"7,913.77","7,493.03","15,406.80","4,636.62","4,401.26","9,037.88"
2008,South Carolina,"8,354.87","7,707.43","16,062.30","4,586.66","4,327.97","8,914.63"
2009,South Carolina,"8,244.79","7,627.31","15,872.10","4,492.02","4,132.94","8,624.96"
2010,South Carolina,"8,560.80","7,844.99","16,405.79","4,636.90","4,197.40","8,834.30"
2011,South Carolina,"8,963.79","8,259.00","17,222.79","4,618.76","4,322.77","8,941.53"
2012,South Carolina,"9,078.80","8,668.98","17,747.78","4,554.96","4,415.85","8,970.81"
2013,South Carolina,"9,366.39","9,161.18","18,527.57","4,644.05","4,561.84","9,205.89"
2014,South Carolina,"9,973.92","9,810.58","19,784.50","4,827.63","4,772.81","9,600.44"
2015,South Carolina,"10,199.19","10,787.93","20,987.12","4,886.23","5,092.86","9,979.09"
2016,South Carolina,"10,431.63","11,518.77","21,950.40","5,069.61","5,331.33","10,400.94"
2017,South Carolina,"10,905.71","12,281.06","23,186.77","5,311.81","5,571.95","10,883.76"
2018,South Carolina,"11,531.43","13,126.00","24,657.43","5,599.83","5,832.23","11,432.06"
2019,South Carolina,"11,907.80","13,831.15","25,738.95","5,743.07","5,962.25","11,705.32"
2020,South Carolina,"12,888.72","12,916.32","25,805.04","6,004.86","5,419.90","11,424.76"
2021,South Carolina,"13,608.84","15,606.43","29,215.27","6,129.82","6,304.90","12,434.72"
2022,South Carolina,"15,529.60","17,567.54","33,097.14","6,280.35","6,585.43","12,865.78"
2023,South Carolina,"15,900.89","18,833.09","34,733.98","6,104.30","6,590.98","12,695.28"
2024,South Carolina,"16,324.21","19,461.72","35,785.93","6,189.83","6,556.23","12,746.06"
1997,South Dakota,970.62,669.47,"1,640.09",725.91,510.55,"1,236.46"
1998,South Dakota,990.29,703.76,"1,694.05",727.39,523.16,"1,250.55"
1999,South Dakota,"1,037.73",735.57,"1,773.30",746.52,533.36,"1,279.88"
2000,South Dakota,"1,104.14",796.5,"1,900.64",776.34,561.64,"1,337.98"
2001,South Dakota,"1,180.29",842.23,"2,022.52",804.8,577.32,"1,382.12"
2002,South Dakota,"1,205.89",881.98,"2,087.87",815.98,591.84,"1,407.82"
2003,South Dakota,"1,274.94",931.54,"2,206.48",850.7,612.88,"1,463.58"
2004,South Dakota,"1,354.29","1,000.66","2,354.95",878.19,639.45,"1,517.64"
2005,South Dakota,"1,468.33","1,057.00","2,525.33",932.18,653.14,"1,585.32"
2006,South Dakota,"1,543.04","1,124.36","2,667.40",964.19,676.34,"1,640.53"
2007,South Dakota,"1,631.64","1,169.09","2,800.73",980.6,679.83,"1,660.43"
2008,South Dakota,"1,695.68","1,213.44","2,909.12",957.78,673.69,"1,631.47"
2009,South Dakota,"1,683.81","1,239.38","2,923.19",942.13,663.33,"1,605.46"
2010,South Dakota,"1,728.56","1,275.63","3,004.19",962.87,675.31,"1,638.18"
2011,South Dakota,"1,819.98","1,344.27","3,164.25",968.27,694.16,"1,662.43"
2012,South Dakota,"1,863.78","1,409.78","3,273.56",966.26,707.41,"1,673.67"
2013,South Dakota,"1,877.80","1,470.28","3,348.08",968.18,720.39,"1,688.57"
2014,South Dakota,"1,920.75","1,564.02","3,484.77",966.33,745.71,"1,712.04"
2015,South Dakota,"1,945.35","1,684.32","3,629.67",973.33,779.25,"1,752.58"
2016,South Dakota,"2,017.92","1,781.60","3,799.52","1,023.24",803.7,"1,826.94"
2017,South Dakota,"2,042.46","1,872.29","3,914.75","1,039.40",830.73,"1,870.13"
2018,South Dakota,"2,045.68","1,934.18","3,979.86","1,040.73",838.15,"1,878.88"
2019,South Dakota,"2,050.43","1,991.33","4,041.76","1,038.03",840.46,"1,878.49"
2020,South Dakota,"2,127.00","1,871.95","3,998.95","1,046.58",770.45,"1,817.03"
2021,South Dakota,"2,304.97","2,356.78","4,661.75","1,096.55",923.04,"2,019.59"
2022,South Dakota,"2,656.51","2,617.60","5,274.11","1,119.81",942.85,"2,062.66"
2023,South Dakota,"2,736.49","2,771.15","5,507.64","1,096.34",934.5,"2,030.84"
2024,South Dakota,"2,827.97","2,861.03","5,689.00","1,120.48",932.43,"2,052.91"
1997,Tennessee,"4,652.76","5,378.65","10,031.41","3,460.36","4,130.16","7,590.52"
1998,Tennessee,"5,807.34","5,680.76","11,488.10","4,256.02","4,250.15","8,506.17"
1999,Tennessee,"6,401.81","5,978.22","12,380.03","4,618.42","4,365.96","8,984.38"
2000,Tennessee,"6,778.58","6,459.34","13,237.92","4,762.32","4,612.74","9,375.06"
2001,Tennessee,"7,296.87","6,768.34","14,065.21","4,983.97","4,707.07","9,691.04"
2002,Tennessee,"7,807.55","7,123.78","14,931.33","5,264.28","4,844.17","10,108.45"
2003,Tennessee,"8,144.34","7,617.33","15,761.67","5,375.26","5,058.93","10,434.19"
2004,Tennessee,"8,711.95","8,242.12","16,954.07","5,531.78","5,309.66","10,841.44"
2005,Tennessee,"9,264.60","8,868.65","18,133.25","5,765.42","5,552.55","11,317.97"
2006,Tennessee,"9,923.24","9,485.89","19,409.13","6,057.79","5,762.15","11,819.94"
2007,Tennessee,"10,633.74","9,959.21","20,592.95","6,230.23","5,849.84","12,080.07"
2008,Tennessee,"11,189.48","10,182.68","21,372.16","6,142.80","5,717.90","11,860.70"
2009,Tennessee,"11,046.28","10,064.40","21,110.68","6,018.37","5,453.51","11,471.88"
2010,Tennessee,"11,432.06","10,337.58","21,769.64","6,192.10","5,531.04","11,723.14"
2011,Tennessee,"12,048.14","10,930.63","22,978.77","6,208.03","5,721.11","11,929.14"
2012,Tennessee,"12,447.66","11,688.96","24,136.62","6,245.16","5,954.18","12,199.34"
2013,Tennessee,"12,725.40","12,392.26","25,117.66","6,309.52","6,170.77","12,480.29"
2014,Tennessee,"13,264.52","13,310.64","26,575.16","6,420.36","6,475.57","12,895.93"
2015,Tennessee,"13,375.16","14,595.22","27,970.38","6,407.77","6,890.25","13,298.02"
2016,Tennessee,"13,812.91","15,638.92","29,451.83","6,712.86","7,238.30","13,951.16"
2017,Tennessee,"14,076.05","16,715.52","30,791.57","6,855.97","7,583.88","14,439.85"
2018,Tennessee,"14,637.69","17,566.53","32,204.22","7,108.27","7,805.28","14,913.55"
2019,Tennessee,"14,987.43","18,544.52","33,531.95","7,228.36","7,994.06","15,222.42"
2020,Tennessee,"17,903.54","17,367.54","35,271.08","8,341.27","7,287.71","15,628.98"
2021,Tennessee,"18,750.55","20,815.28","39,565.83","8,445.80","8,409.24","16,855.04"
2022,Tennessee,"21,085.92","23,679.42","44,765.34","8,527.39","8,876.55","17,403.94"
2023,Tennessee,"21,749.64","25,448.43","47,198.07","8,349.62","8,906.14","17,255.76"
2024,Tennessee,"22,496.40","26,468.89","48,965.29","8,530.21","8,916.79","17,447.00"
1997,Texas,"29,167.54","21,421.09","50,588.63","21,692.54","16,448.82","38,141.36"
1998,Texas,"29,634.88","23,003.64","52,638.52","21,718.46","17,210.55","38,929.01"
1999,Texas,"31,340.56","24,314.99","55,655.55","22,609.84","17,757.49","40,367.33"
2000,Texas,"32,990.79","26,288.06","59,278.85","23,177.83","18,772.81","41,950.64"
2001,Texas,"34,542.00","27,489.15","62,031.15","23,593.15","19,117.45","42,710.60"
2002,Texas,"34,764.76","28,751.29","63,516.05","23,440.34","19,550.88","42,991.22"
2003,Texas,"35,018.14","30,492.05","65,510.19","23,111.97","20,250.82","43,362.79"
2004,Texas,"37,086.08","32,678.13","69,764.21","23,548.33","21,051.60","44,599.93"
2005,Texas,"39,461.44","34,663.89","74,125.33","24,557.09","21,702.61","46,259.70"
2006,Texas,"41,558.50","37,347.18","78,905.68","25,370.01","22,686.33","48,056.34"
2007,Texas,"43,941.89","39,855.04","83,796.93","25,745.24","23,410.05","49,155.29"
2008,Texas,"46,662.61","42,161.18","88,823.79","25,616.86","23,674.86","49,291.72"
2009,Texas,"46,680.52","43,104.82","89,785.34","25,433.03","23,356.84","48,789.87"
2010,Texas,"48,199.47","44,578.48","92,777.95","26,106.92","23,851.37","49,958.29"
2011,Texas,"51,051.39","47,772.72","98,824.11","26,305.17","25,004.30","51,309.47"
2012,Texas,"52,974.26","50,369.57","103,343.83","26,577.91","25,657.48","52,235.39"
2013,Texas,"55,272.83","54,446.43","109,719.26","27,405.43","27,111.80","54,517.23"
2014,Texas,"58,334.92","58,883.15","117,218.07","28,235.57","28,646.42","56,881.99"
2015,Texas,"59,825.17","64,765.89","124,591.06","28,661.05","30,575.28","59,236.33"
2016,Texas,"61,641.98","69,286.27","130,928.25","29,957.04","32,068.37","62,025.41"
2017,Texas,"64,158.16","73,724.93","137,883.09","31,249.29","33,449.22","64,698.51"
2018,Texas,"66,727.48","77,913.93","144,641.41","32,403.83","34,619.23","67,023.06"
2019,Texas,"69,178.84","82,649.26","151,828.10","33,364.61","35,627.95","68,992.56"
2020,Texas,"75,644.62","76,792.12","152,436.74","35,242.87","32,223.23","67,466.10"
2021,Texas,"81,403.55","93,233.15","174,636.70","36,666.55","37,665.61","74,332.16"
2022,Texas,"92,491.18","107,131.34","199,622.52","37,404.52","40,159.61","77,564.13"
2023,Texas,"95,711.88","116,135.05","211,846.93","36,743.50","40,643.58","77,387.08"
2024,Texas,"99,241.61","120,924.19","220,165.80","37,630.52","40,736.73","78,367.25"
1997,Utah,"2,933.86","2,045.24","4,979.10","2,097.68","1,596.22","3,693.90"
1998,Utah,"3,089.92","2,165.02","5,254.94","2,143.43","1,645.74","3,789.17"
1999,Utah,"3,330.26","2,256.65","5,586.91","2,264.27","1,679.17","3,943.44"
2000,Utah,"3,482.60","2,424.01","5,906.61","2,320.41","1,764.25","4,084.66"
2001,Utah,"3,683.29","2,546.26","6,229.55","2,355.69","1,796.48","4,152.17"
2002,Utah,"3,749.26","2,677.42","6,426.68","2,353.90","1,828.71","4,182.61"
2003,Utah,"3,975.72","2,808.85","6,784.57","2,430.54","1,881.99","4,312.53"
2004,Utah,"4,338.69","3,030.02","7,368.71","2,557.08","1,969.59","4,526.67"
2005,Utah,"4,610.52","3,204.76","7,815.28","2,692.75","2,011.16","4,703.91"
2006,Utah,"4,997.91","3,440.50","8,438.41","2,884.27","2,097.57","4,981.84"
2007,Utah,"5,466.17","3,689.53","9,155.70","3,012.65","2,171.56","5,184.21"
2008,Utah,"5,931.95","3,882.72","9,814.67","3,079.39","2,201.52","5,280.91"
2009,Utah,"5,871.42","3,887.36","9,758.78","3,070.31","2,137.55","5,207.86"
2010,Utah,"5,922.46","4,038.36","9,960.82","3,115.70","2,194.83","5,310.53"
2011,Utah,"6,232.60","4,309.15","10,541.75","3,126.10","2,290.58","5,416.68"
2012,Utah,"6,508.93","4,569.45","11,078.38","3,206.84","2,356.85","5,563.69"
2013,Utah,"6,662.96","4,905.06","11,568.02","3,253.60","2,477.76","5,731.36"
2014,Utah,"6,943.83","5,301.73","12,245.56","3,298.67","2,613.56","5,912.23"
2015,Utah,"7,219.51","5,853.71","13,073.22","3,373.09","2,805.03","6,178.12"
2016,Utah,"7,627.35","6,307.55","13,934.90","3,605.02","2,926.46","6,531.48"
2017,Utah,"8,246.49","6,807.90","15,054.39","3,909.75","3,058.35","6,968.10"
2018,Utah,"8,643.01","7,235.62","15,878.63","4,079.92","3,143.41","7,223.33"
2019,Utah,"8,980.79","7,658.58","16,639.37","4,175.73","3,212.92","7,388.65"
2020,Utah,"9,603.83","7,440.99","17,044.82","4,294.18","2,984.91","7,279.09"
2021,Utah,"10,581.32","9,131.71","19,713.03","4,533.52","3,492.83","8,026.35"
2022,Utah,"11,403.91","10,359.37","21,763.28","4,385.79","3,693.34","8,079.13"
2023,Utah,"11,871.84","11,105.32","22,977.16","4,363.79","3,684.74","8,048.53"
2024,Utah,"12,381.60","11,669.26","24,050.86","4,488.36","3,700.75","8,189.11"
1997,Vermont,905.91,561.75,"1,467.66",668.75,444.9,"1,113.65"
1998,Vermont,919.19,581.47,"1,500.66",668.61,449.25,"1,117.86"
1999,Vermont,954.69,608.42,"1,563.11",679.88,456.95,"1,136.83"
2000,Vermont,978.86,646.8,"1,625.66",686.01,475.6,"1,161.61"
2001,Vermont,"1,013.31",690.75,"1,704.06",688.27,493.28,"1,181.55"
2002,Vermont,"1,055.95",717.37,"1,773.32",709.53,499.87,"1,209.40"
2003,Vermont,"1,076.55",742.25,"1,818.80",707.4,506.59,"1,213.99"
2004,Vermont,"1,113.52",794.51,"1,908.03",700.74,528,"1,228.74"
2005,Vermont,"1,168.01",823.17,"1,991.18",716.09,531.95,"1,248.04"
2006,Vermont,"1,224.70",868.58,"2,093.28",734.2,541.63,"1,275.83"
2007,Vermont,"1,258.81",885.14,"2,143.95",726.3,529.61,"1,255.91"
2008,Vermont,"1,353.91",893.71,"2,247.62",735.59,511.75,"1,247.34"
2009,Vermont,"1,320.12",888.42,"2,208.54",710.22,491.97,"1,202.19"
2010,Vermont,"1,335.03",932.88,"2,267.91",711.51,508.66,"1,220.17"
2011,Vermont,"1,403.53",969.58,"2,373.11",717.16,516,"1,233.16"
2012,Vermont,"1,407.04","1,020.15","2,427.19",699.78,528.73,"1,228.51"
2013,Vermont,"1,407.45","1,084.48","2,491.93",694.18,552.76,"1,246.94"
2014,Vermont,"1,438.36","1,169.25","2,607.61",697.52,583.12,"1,280.64"
2015,Vermont,"1,427.15","1,268.86","2,696.01",682.66,618.42,"1,301.08"
2016,Vermont,"1,443.68","1,339.10","2,782.78",699.93,635.73,"1,335.66"
2017,Vermont,"1,455.51","1,430.07","2,885.58",704.58,663.31,"1,367.89"
2018,Vermont,"1,496.22","1,484.73","2,980.95",715.46,670.15,"1,385.61"
2019,Vermont,"1,516.18","1,526.16","3,042.34",719.25,669.65,"1,388.90"
2020,Vermont,"1,571.96","1,282.94","2,854.90",721,543.28,"1,264.28"
2021,Vermont,"1,660.40","1,601.04","3,261.44",744.09,647.16,"1,391.25"
2022,Vermont,"1,810.33","1,793.61","3,603.94",736.71,678.29,"1,415.00"
2023,Vermont,"1,813.57","1,905.64","3,719.21",704.35,674.35,"1,378.70"
2024,Vermont,"1,822.36","1,978.68","3,801.04",701.43,670.94,"1,372.37"
1997,Virginia,"9,959.00","7,406.50","17,365.50","7,406.73","5,687.30","13,094.03"
1998,Virginia,"10,102.44","7,669.70","17,772.14","7,403.75","5,738.21","13,141.96"
1999,Virginia,"10,701.66","8,039.65","18,741.31","7,720.44","5,871.44","13,591.88"
2000,Virginia,"11,305.83","8,709.15","20,014.98","7,942.97","6,219.37","14,162.34"
2001,Virginia,"11,723.65","9,179.48","20,903.13","8,007.58","6,383.91","14,391.49"
2002,Virginia,"11,958.21","9,461.12","21,419.33","8,062.89","6,433.56","14,496.45"
2003,Virginia,"12,265.55","9,990.17","22,255.72","8,095.26","6,634.82","14,730.08"
2004,Virginia,"13,128.51","10,827.12","23,955.63","8,336.13","6,974.94","15,311.07"
2005,Virginia,"13,920.50","11,534.80","25,455.30","8,662.81","7,221.79","15,884.60"
2006,Virginia,"14,841.17","12,289.56","27,130.73","9,060.02","7,465.22","16,525.24"
2007,Virginia,"15,760.55","12,923.15","28,683.70","9,233.99","7,590.80","16,824.79"
2008,Virginia,"16,372.15","13,402.50","29,774.65","8,987.99","7,525.94","16,513.93"
2009,Virginia,"15,985.86","13,423.13","29,408.99","8,709.60","7,273.48","15,983.08"
2010,Virginia,"16,418.11","13,704.76","30,122.87","8,892.76","7,332.62","16,225.38"
2011,Virginia,"17,335.53","14,558.81","31,894.34","8,932.45","7,620.10","16,552.55"
2012,Virginia,"17,845.27","15,271.34","33,116.61","8,953.21","7,778.98","16,732.19"
2013,Virginia,"18,338.24","15,947.88","34,286.12","9,092.48","7,941.31","17,033.79"
2014,Virginia,"19,007.76","16,883.24","35,891.00","9,200.23","8,213.63","17,413.86"
2015,Virginia,"19,203.86","18,347.14","37,551.00","9,200.19","8,661.49","17,861.68"
2016,Virginia,"19,521.40","19,599.59","39,120.99","9,487.09","9,071.45","18,558.54"
2017,Virginia,"20,307.90","20,837.79","41,145.69","9,891.29","9,454.17","19,345.46"
2018,Virginia,"20,705.44","21,683.43","42,388.87","10,054.86","9,634.53","19,689.39"
2019,Virginia,"21,108.37","22,454.96","43,563.33","10,180.46","9,679.75","19,860.21"
2020,Virginia,"22,593.00","19,645.78","42,238.78","10,526.09","8,243.69","18,769.78"
2021,Virginia,"24,090.59","22,989.51","47,080.10","10,851.11","9,287.62","20,138.73"
2022,Virginia,"26,298.98","27,564.09","53,863.07","10,635.62","10,332.77","20,968.39"
2023,Virginia,"26,291.99","29,456.86","55,748.85","10,093.41","10,308.96","20,402.37"
2024,Virginia,"26,343.27","30,481.24","56,824.51","9,988.86","10,268.47","20,257.33"
1997,Washington,"8,644.40","5,870.43","14,514.83","6,180.64","4,581.62","10,762.26"
1998,Washington,"8,958.03","6,240.32","15,198.35","6,214.03","4,743.60","10,957.63"
1999,Washington,"9,650.80","6,580.18","16,230.98","6,561.64","4,896.30","11,457.94"
2000,Washington,"10,381.92","7,040.29","17,422.21","6,917.32","5,124.10","12,041.42"
2001,Washington,"10,798.24","7,271.80","18,070.04","6,906.13","5,130.52","12,036.65"
2002,Washington,"11,005.50","7,454.11","18,459.61","6,909.60","5,091.23","12,000.83"
2003,Washington,"11,385.01","7,903.72","19,288.73","6,960.17","5,295.67","12,255.84"
2004,Washington,"12,279.42","8,434.19","20,713.61","7,237.09","5,482.45","12,719.54"
2005,Washington,"13,388.31","9,089.92","22,478.23","7,819.37","5,704.42","13,523.79"
2006,Washington,"14,396.83","9,780.06","24,176.89","8,308.34","5,962.60","14,270.94"
2007,Washington,"15,413.85","10,391.02","25,804.87","8,495.26","6,115.88","14,611.14"
2008,Washington,"16,555.70","10,775.61","27,331.31","8,594.38","6,109.82","14,704.20"
2009,Washington,"16,490.30","10,556.64","27,046.94","8,623.19","5,804.80","14,427.99"
2010,Washington,"17,439.30","10,827.83","28,267.13","9,174.51","5,884.88","15,059.39"
2011,Washington,"19,088.75","11,468.68","30,557.43","9,574.40","6,096.33","15,670.73"
2012,Washington,"20,902.79","12,046.37","32,949.16","10,298.47","6,213.32","16,511.79"
2013,Washington,"22,677.13","13,047.20","35,724.33","11,073.52","6,590.72","17,664.24"
2014,Washington,"25,436.92","14,436.51","39,873.43","12,083.80","7,116.67","19,200.47"
2015,Washington,"27,299.64","16,229.35","43,528.99","12,754.90","7,776.92","20,531.82"
2016,Washington,"30,118.30","17,961.97","48,080.27","14,235.24","8,333.67","22,568.91"
2017,Washington,"35,749.60","20,230.70","55,980.30","16,949.29","9,088.36","26,037.65"
2018,Washington,"36,100.43","21,119.39","57,219.82","17,041.14","9,175.02","26,216.16"
2019,Washington,"38,293.36","22,136.21","60,429.57","17,804.96","9,286.57","27,091.53"
2020,Washington,"42,534.34","19,401.75","61,936.09","19,018.45","7,782.89","26,801.34"
2021,Washington,"44,547.08","23,194.59","67,741.67","19,085.98","8,871.81","27,957.79"
2022,Washington,"27,514.93","24,723.44","52,238.37","10,581.86","8,814.45","19,396.31"
2023,Washington,"27,319.69","27,592.11","54,911.80","10,042.04","9,155.06","19,197.10"
2024,Washington,"27,139.15","29,365.49","56,504.64","9,838.02","9,312.88","19,150.90"
1997,West Virginia,"2,056.62","1,543.95","3,600.57","1,529.55","1,185.56","2,715.11"
1998,West Virginia,"2,117.81","1,617.35","3,735.16","1,552.07","1,210.04","2,762.11"
1999,West Virginia,"2,234.32","1,628.37","3,862.69","1,611.89","1,189.22","2,801.11"
2000,West Virginia,"2,273.86","1,725.34","3,999.20","1,597.51","1,232.10","2,829.61"
2001,West Virginia,"2,342.08","1,777.00","4,119.08","1,599.70","1,235.82","2,835.52"
2002,West Virginia,"2,403.31","1,846.36","4,249.67","1,620.44","1,255.52","2,875.96"
2003,West Virginia,"2,484.99","1,953.70","4,438.69","1,640.09","1,297.52","2,937.61"
2004,West Virginia,"2,691.64","2,068.41","4,760.05","1,709.10","1,332.49","3,041.59"
2005,West Virginia,"2,883.59","2,148.76","5,032.35","1,794.47","1,345.31","3,139.78"
2006,West Virginia,"3,091.89","2,280.82","5,372.71","1,887.49","1,385.47","3,272.96"
2007,West Virginia,"3,264.03","2,349.92","5,613.95","1,912.37","1,380.29","3,292.66"
2008,West Virginia,"3,388.94","2,450.69","5,839.63","1,860.46","1,376.14","3,236.60"
2009,West Virginia,"3,300.96","2,487.90","5,788.86","1,798.47","1,348.10","3,146.57"
2010,West Virginia,"3,398.39","2,546.73","5,945.12","1,840.71","1,362.61","3,203.32"
2011,West Virginia,"3,510.93","2,672.12","6,183.05","1,809.07","1,398.59","3,207.66"
2012,West Virginia,"3,560.20","2,792.70","6,352.90","1,786.20","1,422.56","3,208.76"
2013,West Virginia,"3,602.62","2,897.67","6,500.29","1,786.25","1,442.91","3,229.16"
2014,West Virginia,"3,672.48","3,018.59","6,691.07","1,777.57","1,468.53","3,246.10"
2015,West Virginia,"3,667.75","3,245.74","6,913.49","1,757.15","1,532.28","3,289.43"
2016,West Virginia,"3,726.60","3,369.71","7,096.31","1,811.07","1,559.63","3,370.70"
2017,West Virginia,"3,751.01","3,516.33","7,267.34","1,826.99","1,595.37","3,422.36"
2018,West Virginia,"3,803.99","3,593.03","7,397.02","1,847.27","1,596.48","3,443.75"
2019,West Virginia,"3,794.62","3,736.27","7,530.89","1,830.13","1,610.61","3,440.74"
2020,West Virginia,"3,963.08","3,482.75","7,445.83","1,846.40","1,461.42","3,307.82"
2021,West Virginia,"4,233.78","4,209.06","8,442.84","1,907.02","1,700.43","3,607.45"
2022,West Virginia,"4,588.73","4,380.29","8,969.02","1,855.73","1,642.01","3,497.74"
2023,West Virginia,"4,462.25","4,587.24","9,049.49","1,713.04","1,605.39","3,318.43"
2024,West Virginia,"4,345.60","4,597.81","8,943.41","1,647.77","1,548.90","3,196.67"
1997,Wisconsin,"7,137.00","4,483.74","11,620.74","5,337.68","3,419.36","8,757.04"
1998,Wisconsin,"7,287.48","4,734.37","12,021.85","5,352.84","3,519.44","8,872.28"
1999,Wisconsin,"7,691.12","5,049.52","12,740.64","5,532.80","3,661.37","9,194.17"
2000,Wisconsin,"8,145.30","5,421.65","13,566.95","5,727.09","3,823.04","9,550.13"
2001,Wisconsin,"8,452.43","5,684.18","14,136.61","5,763.47","3,896.30","9,659.77"
2002,Wisconsin,"8,460.75","5,882.87","14,343.62","5,725.06","3,947.58","9,672.64"
2003,Wisconsin,"8,744.42","6,240.73","14,985.15","5,834.68","4,105.93","9,940.61"
2004,Wisconsin,"9,152.48","6,665.24","15,817.72","5,934.93","4,259.25","10,194.18"
2005,Wisconsin,"9,597.95","7,038.71","16,636.66","6,093.35","4,349.39","10,442.74"
2006,Wisconsin,"9,877.83","7,434.63","17,312.46","6,172.30","4,472.16","10,644.46"
2007,Wisconsin,"10,283.42","7,731.53","18,014.95","6,180.24","4,495.94","10,676.18"
2008,Wisconsin,"10,561.24","7,879.82","18,441.06","5,965.34","4,374.81","10,340.15"
2009,Wisconsin,"10,235.96","7,882.78","18,118.74","5,727.28","4,218.97","9,946.25"
2010,Wisconsin,"10,433.21","8,081.80","18,515.01","5,811.71","4,278.45","10,090.16"
2011,Wisconsin,"10,947.26","8,425.28","19,372.54","5,824.22","4,350.67","10,174.89"
2012,Wisconsin,"11,625.56","8,751.25","20,376.81","6,027.19","4,391.27","10,418.46"
2013,Wisconsin,"12,001.11","9,150.65","21,151.76","6,187.67","4,483.49","10,671.16"
2014,Wisconsin,"12,522.59","9,667.60","22,190.19","6,300.10","4,609.39","10,909.49"
2015,Wisconsin,"12,579.36","10,517.90","23,097.26","6,293.89","4,866.11","11,160.00"
2016,Wisconsin,"12,901.49","11,095.28","23,996.77","6,542.05","5,005.20","11,547.25"
2017,Wisconsin,"13,210.82","11,803.27","25,014.09","6,722.90","5,237.07","11,959.97"
2018,Wisconsin,"13,598.41","12,228.70","25,827.11","6,918.12","5,299.14","12,217.26"
2019,Wisconsin,"13,801.15","12,679.03","26,480.18","6,986.83","5,351.32","12,338.15"
2020,Wisconsin,"14,701.85","11,438.16","26,140.01","7,233.99","4,707.69","11,941.68"
2021,Wisconsin,"15,526.13","13,759.45","29,285.58","7,386.27","5,388.94","12,775.21"
2022,Wisconsin,"17,232.08","15,444.64","32,676.72","7,263.94","5,563.11","12,827.05"
2023,Wisconsin,"17,586.46","16,241.74","33,828.20","7,045.77","5,477.13","12,522.90"
2024,Wisconsin,"18,006.72","16,663.47","34,670.19","7,134.53","5,430.75","12,565.28"
1997,Wyoming,795.95,557.89,"1,353.84",569.1,435.41,"1,004.51"
1998,Wyoming,816.98,579.77,"1,396.75",566.73,440.71,"1,007.44"
1999,Wyoming,868.02,609.82,"1,477.84",590.17,453.77,"1,043.94"
