Year,State,Food-at-home per capita sales without taxes and tips (nominal U.S. dollars),Food-away-from-home per capita sales without taxes and tips (nominal U.S. dollars),Total food per capita sales without taxes and tips (nominal U.S. dollars),Food-at-home per capita sales without taxes and tips (constant U.S. dollars (1988=100)),Food-away-from-home per capita sales without taxes and tips (constant U.S. dollars (1988=100)),Total food per capita sales without taxes and tips (constant U.S. dollars (1988=100))
2002,Virginia," 1,641.06 "," 1,298.38 "," 2,939.44 "," 1,106.49 ", 882.90 ," 1,989.39 "
2003,Virginia," 1,664.94 "," 1,356.07 "," 3,021.01 "," 1,098.86 ", 900.62 ," 1,999.48 "
2004,Virginia," 1,756.19 "," 1,448.33 "," 3,204.52 "," 1,115.12 ", 933.03 ," 2,048.15 "
2005,Virginia," 1,837.18 "," 1,522.32 "," 3,359.50 "," 1,143.29 ", 953.11 ," 2,096.40 "
2006,Virginia," 1,934.02 "," 1,601.51 "," 3,535.53 "," 1,180.65 ", 972.83 ," 2,153.48 "
2007,Virginia," 2,033.36 "," 1,667.29 "," 3,700.65 "," 1,191.33 ", 979.33 ," 2,170.66 "
2008,Virginia," 2,090.02 "," 1,710.92 "," 3,800.94 "," 1,147.38 ", 960.74 ," 2,108.12 "
2009,Virginia," 2,016.90 "," 1,693.57 "," 3,710.47 "," 1,098.87 ", 917.68 ," 2,016.55 "
2010,Virginia," 2,046.12 "," 1,707.97 "," 3,754.09 "," 1,108.27 ", 913.84 ," 2,022.11 "
2011,Virginia," 2,139.55 "," 1,796.84 "," 3,936.39 "," 1,102.44 ", 940.47 ," 2,042.91 "
2012,Virginia," 2,179.59 "," 1,865.21 "," 4,044.80 "," 1,093.53 ", 950.11 ," 2,043.64 "
2013,Virginia," 2,221.24 "," 1,931.70 "," 4,152.94 "," 1,101.34 ", 961.90 ," 2,063.24 "
2014,Virginia," 2,285.84 "," 2,030.35 "," 4,316.19 "," 1,106.40 ", 987.76 ," 2,094.16 "
2015,Virginia," 2,295.11 "," 2,192.72 "," 4,487.83 "," 1,099.54 "," 1,035.16 "," 2,134.70 "
2016,Virginia," 2,319.10 "," 2,328.39 "," 4,647.49 "," 1,127.05 "," 1,077.67 "," 2,204.72 "
2017,Virginia," 2,397.34 "," 2,459.89 "," 4,857.23 "," 1,167.66 "," 1,116.06 "," 2,283.72 "
2018,Virginia," 2,432.81 "," 2,547.72 "," 4,980.53 "," 1,181.41 "," 1,132.02 "," 2,313.43 "
2019,Virginia," 2,466.90 "," 2,624.27 "," 5,091.17 "," 1,189.77 "," 1,131.26 "," 2,321.03 "
2020,Virginia," 2,615.65 "," 2,274.44 "," 4,890.09 "," 1,218.63 ", 954.39 ," 2,173.02 "
2021,Virginia," 2,782.17 "," 2,655.01 "," 5,437.18 "," 1,253.17 "," 1,072.61 "," 2,325.78 "
2022,Virginia," 3,028.65 "," 3,174.34 "," 6,202.99 "," 1,224.82 "," 1,189.94 "," 2,414.76 "
2023,Virginia," 3,010.07 "," 3,372.40 "," 6,382.47 "," 1,155.56 "," 1,180.23 "," 2,335.79 "
2024,Virginia," 2,989.75 "," 3,459.38 "," 6,449.13 "," 1,133.66 "," 1,165.39 "," 2,299.05 "
1997,Washington," 1,542.51 "," 1,047.52 "," 2,590.03 "," 1,102.88 ", 817.55 ," 1,920.43 "
1998,Washington," 1,574.95 "," 1,097.14 "," 2,672.09 "," 1,092.51 ", 833.99 ," 1,926.50 "
1999,Washington," 1,676.55 "," 1,143.11 "," 2,819.66 "," 1,139.89 ", 850.59 ," 1,990.48 "
2000,Washington," 1,756.52 "," 1,191.15 "," 2,947.67 "," 1,170.34 ", 866.95 ," 2,037.29 "
2001,Washington," 1,804.00 "," 1,214.86 "," 3,018.86 "," 1,153.77 ", 857.13 ," 2,010.90 "
2002,Washington," 1,818.38 "," 1,231.61 "," 3,049.99 "," 1,141.64 ", 841.20 ," 1,982.84 "
2003,Washington," 1,865.14 "," 1,294.82 "," 3,159.96 "," 1,140.24 ", 867.56 ," 2,007.80 "
2004,Washington," 1,987.40 "," 1,365.05 "," 3,352.45 "," 1,171.31 ", 887.32 ," 2,058.63 "
2005,Washington," 2,139.63 "," 1,452.69 "," 3,592.32 "," 1,249.64 ", 911.64 ," 2,161.28 "
2006,Washington," 2,259.83 "," 1,535.15 "," 3,794.98 "," 1,304.14 ", 935.93 ," 2,240.07 "
2007,Washington," 2,385.46 "," 1,608.12 "," 3,993.58 "," 1,314.73 ", 946.50 ," 2,261.23 "
2008,Washington," 2,522.88 "," 1,642.07 "," 4,164.95 "," 1,309.67 ", 931.06 ," 2,240.73 "
2009,Washington," 2,473.26 "," 1,583.32 "," 4,056.58 "," 1,293.33 ", 870.62 ," 2,163.95 "
2010,Washington," 2,586.28 "," 1,605.79 "," 4,192.07 "," 1,360.60 ", 872.74 ," 2,233.34 "
2011,Washington," 2,795.87 "," 1,679.78 "," 4,475.65 "," 1,402.33 ", 892.91 ," 2,295.24 "
2012,Washington," 3,030.01 "," 1,746.21 "," 4,776.22 "," 1,492.83 ", 900.66 ," 2,393.49 "
2013,Washington," 3,255.28 "," 1,872.91 "," 5,128.19 "," 1,589.60 ", 946.09 ," 2,535.69 "
2014,Washington," 3,604.22 "," 2,045.55 "," 5,649.77 "," 1,712.19 "," 1,008.38 "," 2,720.57 "
2015,Washington," 3,808.92 "," 2,264.36 "," 6,073.28 "," 1,779.60 "," 1,085.06 "," 2,864.66 "
2016,Washington," 4,125.82 "," 2,460.56 "," 6,586.38 "," 1,950.04 "," 1,141.60 "," 3,091.64 "
2017,Washington," 4,812.85 "," 2,723.59 "," 7,536.44 "," 2,281.83 "," 1,223.54 "," 3,505.37 "
2018,Washington," 4,796.26 "," 2,805.90 "," 7,602.16 "," 2,264.06 "," 1,218.98 "," 3,483.04 "
2019,Washington," 5,029.32 "," 2,907.30 "," 7,936.62 "," 2,338.44 "," 1,219.67 "," 3,558.11 "
2020,Washington," 5,504.49 "," 2,510.84 "," 8,015.33 "," 2,461.23 "," 1,007.21 "," 3,468.44 "
2021,Washington," 5,752.64 "," 2,995.26 "," 8,747.90 "," 2,464.69 "," 1,145.67 "," 3,610.36 "
2022,Washington," 3,530.21 "," 3,172.06 "," 6,702.27 "," 1,357.67 "," 1,130.91 "," 2,488.58 "
2023,Washington," 3,476.97 "," 3,511.64 "," 6,988.61 "," 1,278.05 "," 1,165.16 "," 2,443.21 "
2024,Washington," 3,410.22 "," 3,689.98 "," 7,100.20 "," 1,236.21 "," 1,170.23 "," 2,406.44 "
1997,West Virginia," 1,132.76 ", 850.38 ," 1,983.14 ", 842.46 , 652.99 ," 1,495.45 "
1998,West Virginia," 1,168.97 ", 892.73 ," 2,061.70 ", 856.70 , 667.91 ," 1,524.61 "
1999,West Virginia," 1,236.53 ", 901.18 ," 2,137.71 ", 892.06 , 658.14 ," 1,550.20 "
2000,West Virginia," 1,258.35 ", 954.80 ," 2,213.15 ", 884.06 , 681.84 ," 1,565.90 "
2001,West Virginia," 1,300.08 ", 986.41 ," 2,286.49 ", 887.99 , 686.00 ," 1,573.99 "
2002,West Virginia," 1,331.17 "," 1,022.68 "," 2,353.85 ", 897.55 , 695.42 ," 1,592.97 "
2003,West Virginia," 1,371.18 "," 1,078.02 "," 2,449.20 ", 904.98 , 715.95 ," 1,620.93 "
2004,West Virginia," 1,481.82 "," 1,138.72 "," 2,620.54 ", 940.91 , 733.57 ," 1,674.48 "
2005,West Virginia," 1,583.96 "," 1,180.32 "," 2,764.28 ", 985.71 , 738.98 ," 1,724.69 "
2006,West Virginia," 1,691.49 "," 1,247.77 "," 2,939.26 "," 1,032.59 ", 757.95 ," 1,790.54 "
2007,West Virginia," 1,779.68 "," 1,281.27 "," 3,060.95 "," 1,042.70 ", 752.59 ," 1,795.29 "
2008,West Virginia," 1,841.51 "," 1,331.67 "," 3,173.18 "," 1,010.95 ", 747.78 ," 1,758.73 "
2009,West Virginia," 1,786.45 "," 1,346.43 "," 3,132.88 ", 973.31 , 729.58 ," 1,702.89 "
2010,West Virginia," 1,832.74 "," 1,373.45 "," 3,206.19 ", 992.69 , 734.85 ," 1,727.54 "
2011,West Virginia," 1,891.05 "," 1,439.25 "," 3,330.30 ", 974.40 , 753.31 ," 1,727.71 "
2012,West Virginia," 1,916.72 "," 1,503.52 "," 3,420.24 ", 961.64 , 765.87 ," 1,727.51 "
2013,West Virginia," 1,942.36 "," 1,562.28 "," 3,504.64 ", 963.06 , 777.94 ," 1,741.00 "
2014,West Virginia," 1,984.52 "," 1,631.17 "," 3,615.69 ", 960.56 , 793.56 ," 1,754.12 "
2015,West Virginia," 1,989.74 "," 1,760.80 "," 3,750.54 ", 953.25 , 831.26 ," 1,784.51 "
2016,West Virginia," 2,033.69 "," 1,838.92 "," 3,872.61 ", 988.34 , 851.13 ," 1,839.47 "
2017,West Virginia," 2,062.49 "," 1,933.45 "," 3,995.94 "," 1,004.57 ", 877.21 ," 1,881.78 "
2018,West Virginia," 2,106.36 "," 1,989.55 "," 4,095.91 "," 1,022.88 ", 884.01 ," 1,906.89 "
2019,West Virginia," 2,113.69 "," 2,081.18 "," 4,194.87 "," 1,019.42 ", 897.14 ," 1,916.56 "
2020,West Virginia," 2,211.98 "," 1,943.88 "," 4,155.86 "," 1,030.56 ", 815.69 ," 1,846.25 "
2021,West Virginia," 2,371.05 "," 2,357.20 "," 4,728.25 "," 1,067.99 ", 952.29 ," 2,020.28 "
2022,West Virginia," 2,586.48 "," 2,468.99 "," 5,055.47 "," 1,046.00 ", 925.53 ," 1,971.53 "
2023,West Virginia," 2,520.34 "," 2,590.94 "," 5,111.28 ", 967.55 , 906.75 ," 1,874.30 "
2024,West Virginia," 2,455.17 "," 2,597.66 "," 5,052.83 ", 930.95 , 875.10 ," 1,806.05 "
1997,Wisconsin," 1,372.44 ", 862.22 ," 2,234.66 "," 1,026.43 ", 657.54 ," 1,683.97 "
1998,Wisconsin," 1,395.50 ", 906.60 ," 2,302.10 "," 1,025.03 ", 673.95 ," 1,698.98 "
1999,Wisconsin," 1,464.85 ", 961.73 ," 2,426.58 "," 1,053.78 ", 697.34 ," 1,751.12 "
2000,Wisconsin," 1,515.69 "," 1,008.87 "," 2,524.56 "," 1,065.70 ", 711.40 ," 1,777.10 "
2001,Wisconsin," 1,563.29 "," 1,051.29 "," 2,614.58 "," 1,065.96 ", 720.63 ," 1,786.59 "
2002,Wisconsin," 1,553.81 "," 1,080.39 "," 2,634.20 "," 1,051.40 ", 724.97 ," 1,776.37 "
2003,Wisconsin," 1,595.93 "," 1,138.99 "," 2,734.92 "," 1,064.88 ", 749.37 ," 1,814.25 "
2004,Wisconsin," 1,659.85 "," 1,208.78 "," 2,868.63 "," 1,076.33 ", 772.44 ," 1,848.77 "
2005,Wisconsin," 1,730.56 "," 1,269.11 "," 2,999.67 "," 1,098.66 ", 784.22 ," 1,882.88 "
2006,Wisconsin," 1,770.96 "," 1,332.93 "," 3,103.89 "," 1,106.61 ", 801.80 ," 1,908.41 "
2007,Wisconsin," 1,832.80 "," 1,377.98 "," 3,210.78 "," 1,101.49 ", 801.30 ," 1,902.79 "
2008,Wisconsin," 1,872.23 "," 1,396.88 "," 3,269.11 "," 1,057.50 ", 775.54 ," 1,833.04 "
2009,Wisconsin," 1,805.52 "," 1,390.44 "," 3,195.96 "," 1,010.23 ", 744.18 ," 1,754.41 "
2010,Wisconsin," 1,833.43 "," 1,420.22 "," 3,253.65 "," 1,021.29 ", 751.85 ," 1,773.14 "
2011,Wisconsin," 1,918.61 "," 1,476.61 "," 3,395.22 "," 1,020.75 ", 762.49 ," 1,783.24 "
2012,Wisconsin," 2,032.15 "," 1,529.72 "," 3,561.87 "," 1,053.55 ", 767.59 ," 1,821.14 "
2013,Wisconsin," 2,091.51 "," 1,594.74 "," 3,686.25 "," 1,078.36 ", 781.37 ," 1,859.73 "
2014,Wisconsin," 2,176.63 "," 1,680.39 "," 3,857.02 "," 1,095.06 ", 801.19 ," 1,896.25 "
2015,Wisconsin," 2,182.81 "," 1,825.10 "," 4,007.91 "," 1,092.13 ", 844.38 ," 1,936.51 "
2016,Wisconsin," 2,233.96 "," 1,921.20 "," 4,155.16 "," 1,132.79 ", 866.68 ," 1,999.47 "
2017,Wisconsin," 2,280.42 "," 2,037.45 "," 4,317.87 "," 1,160.49 ", 904.01 ," 2,064.50 "
2018,Wisconsin," 2,340.79 "," 2,105.01 "," 4,445.80 "," 1,190.87 ", 912.18 ," 2,103.05 "
2019,Wisconsin," 2,369.47 "," 2,176.81 "," 4,546.28 "," 1,199.54 ", 918.75 ," 2,118.29 "
2020,Wisconsin," 2,492.95 "," 1,939.53 "," 4,432.48 "," 1,226.65 ", 798.27 ," 2,024.92 "
2021,Wisconsin," 2,639.78 "," 2,339.40 "," 4,979.18 "," 1,255.83 ", 916.24 ," 2,172.07 "
2022,Wisconsin," 2,918.73 "," 2,615.97 "," 5,534.70 "," 1,230.35 ", 942.27 ," 2,172.62 "
2023,Wisconsin," 2,965.47 "," 2,738.72 "," 5,704.19 "," 1,188.08 ", 923.57 ," 2,111.65 "
2024,Wisconsin," 3,020.77 "," 2,795.43 "," 5,816.20 "," 1,196.87 ", 911.05 ," 2,107.92 "
1997,Wyoming," 1,658.13 "," 1,162.19 "," 2,820.32 "," 1,185.54 ", 907.04 ," 2,092.58 "
1998,Wyoming," 1,701.88 "," 1,207.74 "," 2,909.62 "," 1,180.57 ", 918.06 ," 2,098.63 "
1999,Wyoming," 1,809.88 "," 1,271.52 "," 3,081.40 "," 1,230.55 ", 946.14 ," 2,176.69 "
2000,Wyoming," 1,859.33 "," 1,319.78 "," 3,179.11 "," 1,238.84 ", 960.57 ," 2,199.41 "
2001,Wyoming," 1,990.83 "," 1,333.71 "," 3,324.54 "," 1,273.25 ", 940.98 ," 2,214.23 "
2002,Wyoming," 2,041.53 "," 1,396.41 "," 3,437.94 "," 1,281.74 ", 953.76 ," 2,235.50 "
2003,Wyoming," 2,083.16 "," 1,447.60 "," 3,530.76 "," 1,273.53 ", 969.93 ," 2,243.46 "
2004,Wyoming," 2,192.61 "," 1,524.62 "," 3,717.23 "," 1,292.25 ", 991.05 ," 2,283.30 "
2005,Wyoming," 2,276.07 "," 1,580.29 "," 3,856.36 "," 1,329.33 ", 991.72 ," 2,321.05 "
2006,Wyoming," 2,339.46 "," 1,623.84 "," 3,963.30 "," 1,350.09 ", 990.01 ," 2,340.10 "
2007,Wyoming," 2,370.32 "," 1,661.87 "," 4,032.19 "," 1,306.39 ", 978.13 ," 2,284.52 "
2008,Wyoming," 2,427.50 "," 1,715.97 "," 4,143.47 "," 1,260.16 ", 972.96 ," 2,233.12 "
2009,Wyoming," 2,264.23 "," 1,679.35 "," 3,943.58 "," 1,184.02 ", 923.43 ," 2,107.45 "
2010,Wyoming," 2,271.03 "," 1,705.89 "," 3,976.92 "," 1,194.75 ", 927.14 ," 2,121.89 "
2011,Wyoming," 2,308.34 "," 1,782.58 "," 4,090.92 "," 1,157.80 ", 947.56 ," 2,105.36 "
2012,Wyoming," 2,358.12 "," 1,850.74 "," 4,208.86 "," 1,161.81 ", 954.58 ," 2,116.39 "
2013,Wyoming," 2,390.45 "," 1,929.78 "," 4,320.23 "," 1,167.29 ", 974.82 ," 2,142.11 "
2014,Wyoming," 2,468.31 "," 2,050.88 "," 4,519.19 "," 1,172.57 "," 1,011.01 "," 2,183.58 "
2015,Wyoming," 2,508.82 "," 2,222.70 "," 4,731.52 "," 1,172.17 "," 1,065.09 "," 2,237.26 "
2016,Wyoming," 2,516.85 "," 2,291.56 "," 4,808.41 "," 1,189.57 "," 1,063.20 "," 2,252.77 "
2017,Wyoming," 2,592.75 "," 2,437.67 "," 5,030.42 "," 1,229.25 "," 1,095.09 "," 2,324.34 "
2018,Wyoming," 2,668.62 "," 2,530.05 "," 5,198.67 "," 1,259.72 "," 1,099.14 "," 2,358.86 "
2019,Wyoming," 2,716.69 "," 2,647.83 "," 5,364.52 "," 1,263.16 "," 1,110.82 "," 2,373.98 "
2020,Wyoming," 2,942.87 "," 2,573.97 "," 5,516.84 "," 1,315.85 "," 1,032.53 "," 2,348.38 "
2021,Wyoming," 3,133.39 "," 3,274.71 "," 6,408.10 "," 1,342.48 "," 1,252.56 "," 2,595.04 "
2022,Wyoming," 3,552.79 "," 3,520.49 "," 7,073.28 "," 1,366.35 "," 1,255.13 "," 2,621.48 "
2023,Wyoming," 3,588.91 "," 3,656.43 "," 7,245.34 "," 1,319.19 "," 1,213.20 "," 2,532.39 "
2024,Wyoming," 3,643.66 "," 3,699.88 "," 7,343.54 "," 1,320.84 "," 1,173.37 "," 2,494.21 "
